"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"2","0.065539","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"3","2.807720","aa:bb:cc:00:0a:00","aa:bb:cc:00:0a:00","LOOP","60","Reply"
"4","4.152649","aa:bb:cc:00:14:00","aa:bb:cc:00:14:00","LOOP","60","Reply"
"5","4.448643","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"6","4.768827","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"7","9.123322","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"8","9.156137","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"9","12.811729","aa:bb:cc:00:0a:00","aa:bb:cc:00:0a:00","LOOP","60","Reply"
"10","13.415366","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"11","13.866631","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"12","14.152461","aa:bb:cc:00:14:00","aa:bb:cc:00:14:00","LOOP","60","Reply"
"13","18.386548","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"14","18.453529","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"15","22.792399","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"16","22.816964","aa:bb:cc:00:0a:00","aa:bb:cc:00:0a:00","LOOP","60","Reply"
"17","23.249932","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"18","24.158596","aa:bb:cc:00:14:00","aa:bb:cc:00:14:00","LOOP","60","Reply"
"19","24.887023","aa:bb:cc:00:0a:00","CDP/VTP/DTP/PAgP/UDLD","CDP","321","Device ID: Router  Port ID: Ethernet0/0  "
"20","26.227255","aa:bb:cc:00:14:00","CDP/VTP/DTP/PAgP/UDLD","CDP","321","Device ID: Router  Port ID: Ethernet0/0  "
"21","27.294623","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"22","27.621241","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"23","32.041284","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"24","32.059331","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"25","32.815041","aa:bb:cc:00:0a:00","aa:bb:cc:00:0a:00","LOOP","60","Reply"
"26","34.162988","aa:bb:cc:00:14:00","aa:bb:cc:00:14:00","LOOP","60","Reply"
"27","36.845118","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"28","37.026715","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"29","41.271203","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"30","41.609014","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"31","42.819596","aa:bb:cc:00:0a:00","aa:bb:cc:00:0a:00","LOOP","60","Reply"
"32","44.161917","aa:bb:cc:00:14:00","aa:bb:cc:00:14:00","LOOP","60","Reply"
"33","45.778442","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"34","45.919032","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"35","50.379146","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"36","50.468860","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"37","52.824346","aa:bb:cc:00:0a:00","aa:bb:cc:00:0a:00","LOOP","60","Reply"
"38","54.165319","aa:bb:cc:00:14:00","aa:bb:cc:00:14:00","LOOP","60","Reply"
"39","54.780303","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"40","54.782062","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"41","54.782199","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"42","59.100981","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"43","59.411253","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"44","62.824799","aa:bb:cc:00:0a:00","aa:bb:cc:00:0a:00","LOOP","60","Reply"
"45","64.099900","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"46","64.165399","aa:bb:cc:00:14:00","aa:bb:cc:00:14:00","LOOP","60","Reply"
"47","64.271096","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"48","68.749223","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"49","69.045560","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
