"No.","Time","Source","Destination","Protocol","Length","Info"
"126","124.294364","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","ICMPv6","86","Neighbor Solicitation for fe80::c600:3aff:fe44:0 from c4:01:3a:44:00:00"
"127","124.298367","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","ICMPv6","78","Neighbor Advertisement fe80::c600:3aff:fe44:0 (rtr, sol)"
"128","124.312722","fe80::c602:3aff:fe44:0","fe80::c600:3aff:fe44:0","ICMPv6","86","Neighbor Solicitation for fe80::c600:3aff:fe44:0 from c4:02:3a:44:00:00"
"129","124.322822","fe80::c600:3aff:fe44:0","fe80::c602:3aff:fe44:0","ICMPv6","78","Neighbor Advertisement fe80::c600:3aff:fe44:0 (rtr, sol)"
"130","124.324886","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","ICMPv6","86","Neighbor Solicitation for fe80::c601:3aff:fe44:0 from c4:00:3a:44:00:00"
"131","124.326924","fe80::c600:3aff:fe44:0","fe80::c602:3aff:fe44:0","ICMPv6","86","Neighbor Solicitation for fe80::c602:3aff:fe44:0 from c4:00:3a:44:00:00"
"132","124.329022","fe80::c602:3aff:fe44:0","fe80::c600:3aff:fe44:0","ICMPv6","78","Neighbor Advertisement fe80::c602:3aff:fe44:0 (rtr, sol)"
"133","124.329044","fe80::c601:3aff:fe44:0","fe80::c600:3aff:fe44:0","ICMPv6","78","Neighbor Advertisement fe80::c601:3aff:fe44:0 (rtr, sol)"
"134","124.954220","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"135","126.408256","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"136","126.900579","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"137","129.359443","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"138","131.081586","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"139","131.667079","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"140","133.694719","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"141","134.014193","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"142","135.996521","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"143","136.242053","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"144","138.108336","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"145","140.691073","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"146","140.727971","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"147","142.333652","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"148","142.341852","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","166","Query"
"149","142.357171","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","166","Query"
"150","142.428398","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"151","144.034276","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"152","145.382979","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"153","147.008098","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
