"No.","Time","Source","Destination","Protocol","Length","Info"
"338","767.299590","172.16.12.1","224.0.0.10","EIGRP","124","Hello"
"339","767.302038","172.16.12.1","172.16.12.2","EIGRP","94","Update"
"340","767.310490","172.16.12.2","224.0.0.10","EIGRP","139","Update"
"341","767.318835","172.16.12.2","172.16.12.1","EIGRP","60","Hello (Ack)"
"342","767.325657","172.16.12.1","224.0.0.10","EIGRP","139","Update"
"343","767.330247","172.16.12.2","172.16.12.1","EIGRP","60","Hello (Ack)"
"344","767.336945","172.16.12.1","224.0.0.10","EIGRP","139","Update"
"345","767.345494","172.16.12.2","172.16.12.1","EIGRP","60","Hello (Ack)"
"346","767.514123","172.16.12.2","172.16.12.1","EIGRP","139","Update"
"347","767.524770","172.16.12.1","172.16.12.2","EIGRP","60","Hello (Ack)"
"348","767.533315","172.16.12.2","224.0.0.10","EIGRP","139","Update"
"349","767.544052","172.16.12.1","172.16.12.2","EIGRP","60","Hello (Ack)"
"350","772.345260","172.16.12.1","224.0.0.10","EIGRP","124","Hello"
"351","772.537101","172.16.12.2","224.0.0.10","EIGRP","124","Hello"
"353","776.745433","172.16.12.1","224.0.0.10","EIGRP","124","Hello"
"355","777.231601","172.16.12.2","224.0.0.10","EIGRP","124","Hello"
"357","781.552100","172.16.12.2","224.0.0.10","EIGRP","124","Hello"
"358","781.600954","172.16.12.1","224.0.0.10","EIGRP","124","Hello"
"360","786.382081","172.16.12.1","224.0.0.10","EIGRP","124","Hello"
"361","786.432270","172.16.12.2","224.0.0.10","EIGRP","124","Hello"
"363","790.687450","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"364","790.990858","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"366","795.224780","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"367","795.961970","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"369","799.812399","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"370","800.865035","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"371","804.440658","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"373","805.799646","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"375","809.338113","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"376","810.730300","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"377","814.065681","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"379","815.480122","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"381","818.977973","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"382","819.814743","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"383","823.693025","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"384","824.701547","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"388","828.160248","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"390","829.699092","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"391","832.905078","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"392","834.195546","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
